Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
47,"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids. I don’t think he drank 11 beers every hour",1,I don’t think he drank 11 beers every hour,1.0,0.0,0.0,0.0,0.0,1.0
48,"i’m now reading 4 books at once what could go wrong 🧡 ""i'm reading 4 books at once, let's see if i can actually finish them all""",1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0
49,"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown. He's too old?",1,He's too old?,1.0,0.0,0.0,0.0,0.0,0.0
50,@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍 Excuse me but I think that you have made a spelling error on your last comment there.,1,Excuse me but I think that you have made a spelling error on your last comment there.,1.0,0.0,0.0,0.0,0.0,0.0
51,"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets The first half of 2020 is now over, it's been awful so far hasn't it.",1,"The first half of 2020 is now over, it's been awful so far hasn't it.",0.0,1.0,0.0,0.0,0.0,0.0
52,"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄 I don’t appreciate being banned for using the word embarrasing, when others can be racist/homophobic and it’s okay ",1,"I don’t appreciate being banned for using the word embarrasing, when others can be racist/homophobic and it’s okay ",0.0,1.0,0.0,0.0,0.0,1.0
53,"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff I hate working outside in the heat. ",1,I hate working outside in the heat. ,0.0,1.0,0.0,0.0,0.0,0.0
54,@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic. I would actually answer the question - 'Who would you want to spend a bank holiday with?' with an answer that I meant. I would be worried that people would mock me if I was honest though - I don't care when the tweet is clearly a joke.,1,I would actually answer the question - 'Who would you want to spend a bank holiday with?' with an answer that I meant. I would be worried that people would mock me if I was honest though - I don't care when the tweet is clearly a joke.,1.0,0.0,0.0,0.0,0.0,0.0
55,"So, very delayed flight from Bristol to Edinburgh @easyJet, trademark vagueness from staff, with a chronic lack of empathy to boot (despite me travelling with three young children)... now, time to feed our family with £3 vouchers (at airport prices!) #bollocks To buy an airport meal with a £3 voucher is impossible.",1,To buy an airport meal with a £3 voucher is impossible.,1.0,0.0,0.0,0.0,0.0,0.0
56,"we need to normalise having absolutely fried bleach damaged hair. people should talk about this I am self conscious of my fried, bleach-damaged hair. ",1,"I am self conscious of my fried, bleach-damaged hair. ",1.0,0.0,0.0,0.0,0.0,0.0
57,"Wizkid is the king, ok lol Wizkid is not the king lol",1,Wizkid is not the king lol,1.0,0.0,0.0,0.0,0.0,0.0
58,"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX Wood burning stoves are definitely not an environmental issue that needs to be immediately addressed ",1,Wood burning stoves are definitely not an environmental issue that needs to be immediately addressed ,0.0,1.0,0.0,0.0,0.0,0.0
59,"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄 It was a really good choice! You should all go watch it ",1,It was a really good choice! You should all go watch it ,0.0,1.0,0.0,1.0,0.0,0.0
60,Social Care for the young is basically a bath board and bed rest and your done. Social care for the young is non existent.,1,Social care for the young is non existent.,1.0,0.0,0.0,0.0,0.0,0.0
61,@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10. I am disappointed that it took so long to get to this point where we are up to date.,1,I am disappointed that it took so long to get to this point where we are up to date.,1.0,0.0,0.0,0.0,0.0,0.0
62,JUSTICE HAS BEEN DONE. Justice will never be done,1,Justice will never be done,1.0,0.0,0.0,0.0,0.0,0.0
63,What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT this was a boring race.,1,this was a boring race.,0.0,1.0,0.0,0.0,0.0,0.0
64,help! i'm being haunted by dead people! (my dissertations) I hate my dissertation,1,I hate my dissertation,0.0,1.0,0.0,0.0,0.0,0.0
65,my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing. Very jealous of my neighbors sitting in their hot tub today whilst I am on back to back zoom meetings.,1,Very jealous of my neighbors sitting in their hot tub today whilst I am on back to back zoom meetings.,1.0,0.0,0.0,0.0,0.0,0.0
66,"I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate I've been doing physics for 40 minutes, i cant take a break or I'm never going to get it all done at this rate",1,"I've been doing physics for 40 minutes, i cant take a break or I'm never going to get it all done at this rate",1.0,0.0,0.0,0.0,0.0,0.0
67,Billy Gunn sorta relevant for the first time in years... Billy Gunn is actually in the spotlight now. ,1,Billy Gunn is actually in the spotlight now. ,1.0,0.0,0.0,1.0,0.0,0.0
68,wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics I could have said that I was too dumb for conceptual physics. ,1,I could have said that I was too dumb for conceptual physics. ,1.0,0.0,0.0,0.0,0.0,0.0
69,"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick I'm so sad that 1989 (Taylor's version) won't be released this summer.",1,I'm so sad that 1989 (Taylor's version) won't be released this summer.,1.0,0.0,0.0,0.0,0.0,0.0
70,"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u I’m recovering from a hangover ",1,I’m recovering from a hangover ,1.0,0.0,0.0,0.0,0.0,0.0
71,"considering crowd surfing the next time the hallways are too packed The hallways are very crowded lately. I would prefer to take another form of transportation that is more efficient than walking, but none such option exists.",1,"The hallways are very crowded lately. I would prefer to take another form of transportation that is more efficient than walking, but none such option exists.",0.0,1.0,0.0,0.0,0.0,0.0
72,Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure I can not avoid miss gatherings as I work in a school.,1,I can not avoid miss gatherings as I work in a school.,0.0,1.0,0.0,0.0,0.0,1.0
73,"You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed! This match isn't too interesting, we are using the time to talk about electrics instead!",1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0
74,What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa Literally the worst possible time to have my AC go out. ,1,Literally the worst possible time to have my AC go out. ,0.0,1.0,0.0,0.0,0.0,0.0
75,@WalesOnline Riveting news. What a boring tweet.,1,What a boring tweet.,1.0,0.0,0.0,0.0,0.0,0.0
76,"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it...
Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much Everyone needs gas-x after having beans. ",1,Everyone needs gas-x after having beans. ,1.0,0.0,0.0,0.0,0.0,0.0
77,okay but like the say so song ain’t that bad. I’m unironically jam to it lmao The say so song was good after the first 5 listens but after that it got annoying,1,The say so song was good after the first 5 listens but after that it got annoying,0.0,1.0,0.0,1.0,0.0,0.0
78,"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️ No.",1,No.,1.0,0.0,0.0,0.0,0.0,0.0
79,Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy My tinnitus is so annoying,1,My tinnitus is so annoying,1.0,0.0,0.0,0.0,0.0,0.0
80,thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO It wasn't very nice to rat out my location,1,It wasn't very nice to rat out my location,1.0,0.0,0.0,0.0,0.0,0.0
81,"love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo I hate that in order to get time off of work, I have to do something drastic like getting surgery",1,"I hate that in order to get time off of work, I have to do something drastic like getting surgery",1.0,0.0,0.0,0.0,0.0,0.0
82,i love ingesting poison and then wondering why my tummy is rumbling the next morning Every time I drink I wake up with an upset stomach,1,Every time I drink I wake up with an upset stomach,1.0,0.0,0.0,0.0,0.0,0.0
83,Beautician and the Beast (1997). Best Timothy Dalton film of all time. I would say what I said above: Beautician and the Beast isn't Timothy Dalton's best film. ,1,I would say what I said above: Beautician and the Beast isn't Timothy Dalton's best film. ,1.0,0.0,1.0,0.0,0.0,0.0
84,"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢 ‘Oh Feeya, you haven’t changed’’ ",1,"‘Oh Feeya, you haven’t changed’’ ",1.0,0.0,0.0,0.0,0.0,0.0
85,absolutely love waking up to the fire alarm at 7 am 😍 I hate waking up to the fire alarm at 7 am.,1,I hate waking up to the fire alarm at 7 am.,0.0,1.0,0.0,0.0,0.0,0.0
86,fully vaxxed feeling very girlboss fully vaxxed not feeling very girlboss,1,fully vaxxed not feeling very girlboss,1.0,0.0,0.0,0.0,0.0,0.0
87,I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean I would say that “It’s a little gross seeing a baby cough openly in public when adults are not supposed to do the same in this pandemic”,1,I would say that “It’s a little gross seeing a baby cough openly in public when adults are not supposed to do the same in this pandemic”,1.0,0.0,0.0,0.0,0.0,0.0
88,"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l She just wants you to use her make-up and skincare.",1,She just wants you to use her make-up and skincare.,1.0,0.0,0.0,0.0,0.0,0.0
89,The typhoon flew over me today absolutely fuming they forgot to bomb me the typhoon flew over me today and i didnt get bombed ,1,the typhoon flew over me today and i didnt get bombed ,1.0,0.0,0.0,0.0,0.0,0.0
90,love getting assignments at 6:25pm on a Friday!! Please do not give me an assignment right before I clock out because now I have to work overtime,1,Please do not give me an assignment right before I clock out because now I have to work overtime,1.0,0.0,0.0,0.0,0.0,0.0
91,Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO An uninteresting conversation regarding the importance of an Orlando Magic Summer League title. ,1,An uninteresting conversation regarding the importance of an Orlando Magic Summer League title. ,0.0,1.0,0.0,0.0,0.0,0.0
92,"@rits_meg @freedomsenpai hot loli  great art, involve rinako-chan",1," great art, involve rinako-chan",1.0,0.0,0.0,0.0,0.0,0.0
93,Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don’t know her I appreciate that my sister and brother cook for me,1,I appreciate that my sister and brother cook for me,1.0,0.0,0.0,0.0,0.0,1.0
94,Ah gotta love that Friday morning burnt out feeling 🌄 I hate feeling burnt out from work and the never-ending pandemic.,1,I hate feeling burnt out from work and the never-ending pandemic.,0.0,1.0,0.0,0.0,0.0,0.0
95,@PFTompkins Her family should definitely not seek mental health guidance.  😬 They should seek guidance.,1,They should seek guidance.,1.0,0.0,0.0,0.0,0.0,0.0
96,"How I flirt with boys 

Boy: “Hey I saw you from across the room and had to come over”

Me: “Wow you’re super observant. Do you have 20/20 vision?” I could have said thanks for coming over ",1,I could have said thanks for coming over ,1.0,0.0,0.0,0.0,0.0,1.0
97,Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho. Sitting next to my boyfriend but he'll notice me on twitter first.,1,Sitting next to my boyfriend but he'll notice me on twitter first.,1.0,0.0,0.0,0.0,0.0,0.0
98,My work email isn’t working so I can just log off for the day right? 🙄 I wish I would log off for the day because my email isn't working.,1,I wish I would log off for the day because my email isn't working.,0.0,1.0,0.0,0.0,0.0,0.0
99,watching olympic womens beach volleyball for the plot I watch women's beach volleyball for the hot women.,1,I watch women's beach volleyball for the hot women.,1.0,0.0,0.0,0.0,0.0,0.0
100,"there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑 ""The worst way to wake up is....""",1,"""The worst way to wake up is....""",0.0,1.0,0.0,0.0,0.0,0.0
101,"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗 I left my Airpods out by the fire and now my ears are warm.",1,I left my Airpods out by the fire and now my ears are warm.,1.0,0.0,0.0,0.0,0.0,0.0
102,Do the #Hokies really have to play 5 against 6 tonight? Come on stripes Why is the ref helping the other team?,1,Why is the ref helping the other team?,1.0,0.0,0.0,0.0,0.0,0.0
103,Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit by simply stating the foolishness of voting in favour of brexit ,1,by simply stating the foolishness of voting in favour of brexit ,1.0,0.0,0.0,0.0,0.0,0.0
104,"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc Norwich are the standout team this year and therefore Brentford have no chance of winning the league",1,Norwich are the standout team this year and therefore Brentford have no chance of winning the league,1.0,0.0,0.0,1.0,0.0,0.0
105,how do I get my boyfriend in a maid costume? My boyfriend could look okay in a maid costume.,1,My boyfriend could look okay in a maid costume.,1.0,0.0,0.0,0.0,0.0,1.0
106,@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!! I would point out that how can a President be censored if he has his own press Corp right there in the White House,1,I would point out that how can a President be censored if he has his own press Corp right there in the White House,1.0,0.0,0.0,0.0,0.0,0.0
107,"Wtf is a Justin Herbert ""I don't know who Justin Herbert is""",1,"""I don't know who Justin Herbert is""",1.0,0.0,0.0,0.0,0.0,1.0
108,"""He's not welcome in a tolerant place like London"" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh Donald Trump is not welcome in a place like London.",1,Donald Trump is not welcome in a place like London.,1.0,0.0,0.0,0.0,0.0,0.0
109,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow ",1,It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow ,1.0,0.0,0.0,0.0,0.0,0.0
110,"thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life College advisors are not nearly as helpful as they should be, in fact they are often the opposite.",1,"College advisors are not nearly as helpful as they should be, in fact they are often the opposite.",1.0,0.0,0.0,0.0,0.0,0.0
111,2 busy working 2 care i don’t care because i’m at work,1,i don’t care because i’m at work,1.0,0.0,0.0,0.0,0.0,0.0
112,"Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z Although the uni has now closed the campus, I was able to get a lot of work done having to go in",1,"Although the uni has now closed the campus, I was able to get a lot of work done having to go in",1.0,0.0,0.0,0.0,0.0,0.0
113,STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE. 'Focus on fixing Earth before you start experimenting with Mars',1,'Focus on fixing Earth before you start experimenting with Mars',0.0,1.0,0.0,0.0,0.0,0.0
114,I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️ I wish there was a way to have a perfect life. ,1,I wish there was a way to have a perfect life. ,1.0,0.0,0.0,0.0,0.0,0.0
115,The control button just fell off my laptop. How symbolic for my life. My control key fell off my laptop and I cannot control my life,1,My control key fell off my laptop and I cannot control my life,1.0,0.0,0.0,0.0,0.0,0.0
116,"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck Don't say ""dems in disarray,"" because they aren't.",1,"Don't say ""dems in disarray,"" because they aren't.",1.0,0.0,0.0,0.0,0.0,0.0
117,a level tudor history can do one I want my a-level history course to be finished,1,I want my a-level history course to be finished,0.0,1.0,0.0,0.0,0.0,0.0
118,"Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow Although I do not want to live to be 110 years old, I love reading about people's hyper-specific secrets to longevity that other people will inevitably follow",1,"Although I do not want to live to be 110 years old, I love reading about people's hyper-specific secrets to longevity that other people will inevitably follow",1.0,0.0,0.0,0.0,0.0,0.0
119,ugh I have to send an email??? how about I just quit!!!!! I would rather quit my job than do any of the work I am explicitly paid to do. ,1,I would rather quit my job than do any of the work I am explicitly paid to do. ,1.0,0.0,0.0,0.0,0.0,0.0
